 NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
  410              -2.38011e-04      -5.56317e-05       4.02244e-05
  411              -2.46439e-04      -5.77217e-05       2.71181e-05
  412              -2.51540e-04      -5.89902e-05       1.36475e-05
  413              -2.53248e-04      -5.94154e-05       9.86198e-17
  414              -2.51540e-04      -5.89902e-05      -1.36475e-05
  415              -2.46439e-04      -5.77217e-05      -2.71181e-05
  416              -2.38011e-04      -5.56317e-05      -4.02244e-05
  417              -2.26374e-04      -5.27573e-05      -5.27573e-05
  418              -2.11700e-04      -4.91518e-05      -6.44749e-05
  419              -1.94229e-04      -4.48869e-05      -7.50912e-05
  420              -1.74275e-04      -4.00543e-05      -8.42644e-05
  421              -1.52251e-04      -3.47686e-05      -9.15836e-05
  422              -1.28679e-04      -2.91700e-05      -9.65565e-05
  423              -1.04217e-04      -2.34277e-05      -9.85942e-05
  424              -7.96841e-05      -1.77436e-05      -9.69971e-05
  425              -5.60898e-05      -1.23565e-05      -9.09376e-05
  426              -3.46680e-05      -7.54502e-06      -7.94425e-05
  427              -1.69161e-05      -3.63107e-06      -6.13728e-05
  428              -4.63938e-06      -9.80398e-07      -3.54034e-05
  429               0.00000e+00       0.00000e+00       0.00000e+00
  430               0.00000e+00       0.00000e+00       0.00000e+00
  431              -4.85452e-06      -7.40127e-07       3.70604e-05
  432              -1.77137e-05      -2.74573e-06       6.43161e-05
  433              -3.63265e-05      -5.71375e-06       8.33336e-05
  434              -5.88079e-05      -9.36956e-06       9.54750e-05
  435              -8.35894e-05      -1.34697e-05       1.01917e-04
  436              -1.09376e-04      -1.78020e-05       1.03668e-04
  437              -1.35105e-04      -2.21840e-05       1.01590e-04
  438              -1.59913e-04      -2.64606e-05       9.64135e-05
  439              -1.83105e-04      -3.05015e-05       8.87536e-05
  440              -2.04126e-04      -3.41986e-05       7.91272e-05
  441              -2.22540e-04      -3.74632e-05       6.79662e-05
  442              -2.38011e-04      -4.02244e-05       5.56317e-05
  443              -2.50284e-04      -4.24266e-05       4.24266e-05
  444              -2.59173e-04      -4.40282e-05       2.86079e-05
  445              -2.64555e-04      -4.50004e-05       1.43988e-05
  446              -2.66357e-04      -4.53264e-05       9.69855e-17
  447              -2.64555e-04      -4.50004e-05      -1.43988e-05
  448              -2.59173e-04      -4.40282e-05      -2.86079e-05
  449              -2.50284e-04      -4.24266e-05      -4.24266e-05
  450              -2.38011e-04      -4.02244e-05      -5.56317e-05
  451              -2.22540e-04      -3.74632e-05      -6.79662e-05
  452              -2.04126e-04      -3.41986e-05      -7.91272e-05
  453              -1.83105e-04      -3.05015e-05      -8.87536e-05
  454              -1.59913e-04      -2.64606e-05      -9.64135e-05
  455              -1.35105e-04      -2.21840e-05      -1.01590e-04
  456              -1.09376e-04      -1.78020e-05      -1.03668e-04
  457              -8.35894e-05      -1.34697e-05      -1.01917e-04
  458              -5.88079e-05      -9.36956e-06      -9.54750e-05
  459              -3.63265e-05      -5.71375e-06      -8.33336e-05
  460              -1.77137e-05      -2.74573e-06      -6.43161e-05
